Accuracy,Precision,Recall,F1,Method,Model,Optimizer,TimeSec,OptFolder,SourceFile
0.8296296296296296,0.8300297344867618,0.8296296296296296,0.8295904554605502,rfe,Logistic Regression,Randomized,5.863070249557495,orfe,randomized_search_results.csv
0.7876543209876543,0.790046416862536,0.7876543209876543,0.7880607422832621,rfe,Gradient Boosting,Randomized,45.903525590896606,orfe,randomized_search_results.csv
0.7506172839506173,0.7511902306793058,0.7506172839506173,0.7503982265109695,rfe,KNN,Randomized,0.3032011985778808,orfe,randomized_search_results.csv
0.7802469135802469,0.7823676268861454,0.7802469135802469,0.7810026850971781,rfe,Random Forest,Randomized,9.711195945739746,orfe,randomized_search_results.csv
0.745679012345679,0.7440861086434815,0.745679012345679,0.7433083645953836,rfe,Decision Tree,Randomized,0.1028456687927246,orfe,randomized_search_results.csv
0.7901234567901234,0.7902412822376357,0.7901234567901234,0.789632187856054,rfe,SVM,Randomized,3.844711780548096,orfe,randomized_search_results.csv
0.8296296296296296,0.8300297344867618,0.8296296296296296,0.8295904554605502,rfe,Logistic Regression,Grid,0.0691761970520019,orfe,grid_search_results.csv
0.7753086419753087,0.7764896434509965,0.7753086419753087,0.7754119491907655,rfe,Gradient Boosting,Grid,12.256063461303713,orfe,grid_search_results.csv
0.7481481481481481,0.7471471550986013,0.7481481481481481,0.7459366374992886,rfe,KNN,Grid,0.1439623832702636,orfe,grid_search_results.csv
0.782716049382716,0.7834598374172601,0.782716049382716,0.7827203727227089,rfe,Random Forest,Grid,2.010366916656494,orfe,grid_search_results.csv
0.7407407407407407,0.7377593513525548,0.7407407407407407,0.7384639467882896,rfe,Decision Tree,Grid,0.0392401218414306,orfe,grid_search_results.csv
0.7975308641975308,0.7978240652808554,0.7975308641975308,0.7965852141941581,rfe,SVM,Grid,0.7263445854187012,orfe,grid_search_results.csv
0.8296296296296296,0.8300297344867618,0.8296296296296296,0.8295904554605502,rfe,Logistic Regression,Bayes,10.676772117614746,orfe,bayes_search_results.csv
0.7950617283950617,0.7980896385339206,0.7950617283950617,0.7956465905953748,rfe,Gradient Boosting,Bayes,146.40087461471558,orfe,bayes_search_results.csv
0.7432098765432099,0.742986099880543,0.7432098765432099,0.7421535429852443,rfe,KNN,Bayes,18.259297132492065,orfe,bayes_search_results.csv
0.7753086419753087,0.7779023272467015,0.7753086419753087,0.7760176855390566,rfe,Random Forest,Bayes,35.4359335899353,orfe,bayes_search_results.csv
0.7407407407407407,0.740554744192274,0.7407407407407407,0.7398264848199488,rfe,Decision Tree,Bayes,12.247227430343628,orfe,bayes_search_results.csv
0.7950617283950617,0.7958996590060545,0.7950617283950617,0.7941328408316672,rfe,SVM,Bayes,18.571612119674683,orfe,bayes_search_results.csv
0.817283950617284,0.8190286310747521,0.817283950617284,0.8177827403320362,skb,Logistic Regression,Randomized,1.0579569339752195,oskb,randomized_search_results.csv
0.745679012345679,0.7459553457542082,0.745679012345679,0.7441536085745973,skb,Gradient Boosting,Randomized,44.91102552413941,oskb,randomized_search_results.csv
0.7728395061728395,0.7748889243883763,0.7728395061728395,0.7710771399480506,skb,KNN,Randomized,0.2996375560760498,oskb,randomized_search_results.csv
0.7876543209876543,0.7888904274767977,0.7876543209876543,0.7876699794164573,skb,Random Forest,Randomized,9.718679428100586,oskb,randomized_search_results.csv
0.6888888888888889,0.6912623179289845,0.6888888888888889,0.6858062707100895,skb,Decision Tree,Randomized,0.1029839515686035,oskb,randomized_search_results.csv
0.7925925925925926,0.7918160863699608,0.7925925925925926,0.7909120634122085,skb,SVM,Randomized,3.650621652603149,oskb,randomized_search_results.csv
0.817283950617284,0.8186726327148609,0.817283950617284,0.8174306846476589,skb,Logistic Regression,Grid,0.0816729068756103,oskb,grid_search_results.csv
0.7975308641975308,0.7977694957331583,0.7975308641975308,0.7971723727631476,skb,Gradient Boosting,Grid,11.650234460830688,oskb,grid_search_results.csv
0.7481481481481481,0.7481298160796871,0.7481481481481481,0.7466238123072174,skb,KNN,Grid,0.1526298522949218,oskb,grid_search_results.csv
0.7802469135802469,0.7804234757599985,0.7802469135802469,0.7789244233978575,skb,Random Forest,Grid,1.6606271266937256,oskb,grid_search_results.csv
0.7012345679012346,0.7016508921031152,0.7012345679012346,0.6999486212736731,skb,Decision Tree,Grid,0.0532228946685791,oskb,grid_search_results.csv
0.7950617283950617,0.7955825856732611,0.7950617283950617,0.7938015979532945,skb,SVM,Grid,0.5749390125274658,oskb,grid_search_results.csv
0.817283950617284,0.819014139351832,0.817283950617284,0.8179392141796757,skb,Logistic Regression,Bayes,15.758208274841309,oskb,bayes_search_results.csv
0.7950617283950617,0.7950311392562648,0.7950617283950617,0.7940658317057451,skb,Gradient Boosting,Bayes,95.1882553100586,oskb,bayes_search_results.csv
0.745679012345679,0.7456859896080165,0.745679012345679,0.7438525007220511,skb,KNN,Bayes,17.586240530014038,oskb,bayes_search_results.csv
0.7802469135802469,0.7848137555118369,0.7802469135802469,0.7785626142968735,skb,Random Forest,Bayes,33.457733392715454,oskb,bayes_search_results.csv
0.6962962962962963,0.6951051352883292,0.6962962962962963,0.6948701840783786,skb,Decision Tree,Bayes,15.115523099899292,oskb,bayes_search_results.csv
0.7925925925925926,0.7919751473103671,0.7925925925925926,0.7913931796619648,skb,SVM,Bayes,16.84428906440735,oskb,bayes_search_results.csv
0.8197530864197531,0.8246302923288871,0.8197530864197531,0.8190469976119586,fscs,Logistic Regression,Randomized,0.9000277519226074,ofscs,randomized_search_results.csv
0.7777777777777778,0.783914386859276,0.7777777777777778,0.7785825864717298,fscs,Gradient Boosting,Randomized,43.736114501953125,ofscs,randomized_search_results.csv
